idJugador,usuario,email,contrasena,clanID
34,Jessica Ball,jessicaball@icloud.ca,NUO68MPB1LB,4
35,Graiden Dickson,graidendickson@icloud.couk,PQC68UPD6XH,2
36,Scott Lancaster,scottlancaster9179@protonmail.net,HFI18OCS8BL,3
37,Asher Callahan,ashercallahan3512@hotmail.couk,UHM79KRB8HC,2
38,Yardley Franks,yardleyfranks@hotmail.net,JBN70IXO3TB,3
39,Rafael Chambers,rafaelchambers@hotmail.org,UPP12QAR3KT,2
40,Suki Hodges,sukihodges6778@google.couk,IQY62UTU1QH,4
41,Warren Silva,warrensilva@outlook.couk,UEB77XPB8JT,2
42,Whilemina Sims,whileminasims3501@protonmail.ca,WSG62GUZ9ED,3
43,Uta Bond,utabond@icloud.edu,WZO89NTR5BF,2
44,Natalie Gardner,nataliegardner@yahoo.edu,QWJ99YLT9XD,3
45,Alfonso Heath,alfonsoheath5975@outlook.org,WCS08TCF7DK,2
46,Zephr Atkins,zephratkins@protonmail.edu,LHC82ITU7WL,1
47,Marshall Gibson,marshallgibson@yahoo.org,BNV24ZOU5YV,4
48,Cedric Dixon,cedricdixon8820@yahoo.org,KQO12XOJ2SG,2
49,Ria Gilmore,riagilmore7177@icloud.couk,NQO42TLB2MS,4
50,Caesar Farley,caesarfarley@protonmail.ca,TBU73WQY2UG,4
51,Gary Bright,garybright4943@hotmail.com,NFG15NKC1OO,3
52,Charissa Swanson,charissaswanson3108@hotmail.ca,PHX24XJJ7QQ,3
53,Madeline Benton,madelinebenton8655@hotmail.net,KTN12KIW1DM,3
54,Kitra Galloway,kitragalloway3408@aol.edu,HPH43UEV5AS,3
55,Emerson Velazquez,emersonvelazquez@protonmail.couk,FJC42EWQ8BR,4
56,Yen Mills,yenmills6560@hotmail.edu,WOP81UHV7DJ,3
57,Hedy Baker,hedybaker@outlook.ca,EPX20FUN0PS,1
58,Rajah Herman,rajahherman@yahoo.com,VML37QGH8HZ,3
59,Giselle Wilkerson,gisellewilkerson8277@hotmail.couk,OHO42SJO9YO,3
60,Lydia Cook,lydiacook1041@aol.couk,OMJ33CJS2CS,1
61,Noble Brooks,noblebrooks3797@hotmail.com,HYA72CXI1QW,2
62,Christopher Taylor,christophertaylor@yahoo.edu,AOP81YPP6ZF,2
63,Allen Mendoza,allenmendoza@icloud.com,PCM55HRR3RT,2
64,Ora Cherry,oracherry@protonmail.couk,XRA66PBU8EC,2
65,Paki Hardy,pakihardy@google.ca,WEO24CHB1QR,2
66,Noelani Mccall,noelanimccall392@hotmail.org,MZB68LQK6XI,3
67,Leo Bridges,leobridges@icloud.net,YFL47TDG5JR,1
68,Kaseem Blanchard,kaseemblanchard4356@google.ca,ORA58RQN1YB,2
69,Akeem Hoffman,akeemhoffman5081@icloud.edu,BNU47TFR3OO,3
70,Ishmael Cox,ishmaelcox3893@hotmail.couk,YDE77NAX1CJ,2
71,Eric Chapman,ericchapman@outlook.edu,RCA36TYD7BJ,3
72,Willow Gilbert,willowgilbert@outlook.com,JZB18MRI7IH,2
73,Maryam Martinez,maryammartinez6941@protonmail.couk,NGQ31HXU8ED,2
74,Gary Glenn,garyglenn@yahoo.org,VRX48JMP5RO,2
75,Felix Mcknight,felixmcknight@icloud.couk,QLA84SVB6JX,3
76,Teegan Hopper,teeganhopper@yahoo.com,KIO79ZDW6QT,2
77,Melyssa Crane,melyssacrane415@aol.couk,FFL41KUE4GB,3
78,Randall Gay,randallgay@yahoo.couk,UNN88XGQ3HC,4
79,Mark Cain,markcain5983@hotmail.couk,LDO43MWY8TP,3
80,Jenna Smith,jennasmith@icloud.org,HLF88MBC0TY,4
81,Lilah Shepherd,lilahshepherd1529@google.net,RSV43CXG3TF,1
82,Bertha Mcclain,berthamcclain@outlook.edu,WGG37DES4YE,2
83,Jena Everett,jenaeverett3245@yahoo.org,GLN48ZHR2NH,4
84,Allistair Flynn,allistairflynn4991@icloud.com,PLJ45DFR1OY,2
85,Ronan Burns,ronanburns@yahoo.org,UMO62MRT5WO,3
86,Montana Elliott,montanaelliott@yahoo.ca,ALA43AVL0VN,2
87,Darius Britt,dariusbritt2258@aol.edu,YBS16QCO5BK,1
88,Jeanette Barr,jeanettebarr9969@aol.net,YOA35IIP8JX,1
89,Patrick Hopkins,patrickhopkins@yahoo.com,WJG88VYM3VI,2
90,Akeem Eaton,akeemeaton@hotmail.couk,LLC13QPP2OE,3
91,Camden Petersen,camdenpetersen3891@protonmail.ca,IJH47EDT8CV,1
92,Forrest Scott,forrestscott@aol.ca,GIG98FBN4LN,3
93,Sylvester Avery,sylvesteravery@yahoo.net,DPK56OEH2AP,2
94,Lydia Marshall,lydiamarshall@google.net,ISW02TGD6ML,2
95,Quentin Price,quentinprice@google.org,QHL96NGR5EE,1
96,Roary Salazar,roarysalazar3357@icloud.com,HTP73RNH3RU,2
97,Maile Conrad,maileconrad8670@protonmail.org,NXP41FLU0IE,1
98,Marshall Douglas,marshalldouglas@protonmail.ca,FDR55GGT8DA,3
99,Gretchen Velez,gretchenvelez6410@outlook.org,IKB59RNN3DO,2
100,Andrew Potts,andrewpotts2166@icloud.com,DHG62LVS4CJ,2
101,Ross Marks,rossmarks@hotmail.com,QBJ83NPN9QK,3
102,Chancellor Brown,chancellorbrown@aol.com,BUT03SDC2XS,3
103,Aristotle Jimenez,aristotlejimenez1254@yahoo.com,VCQ31YCY5FQ,3
104,Quentin Booth,quentinbooth6623@google.org,ODS73YPX9LU,3
105,Barrett Morrow,barrettmorrow5404@yahoo.net,HQM08JVW7DG,2
106,Sacha Pratt,sachapratt8398@outlook.ca,LSG55MOG3VW,4
107,Yolanda Spencer,yolandaspencer@hotmail.edu,FGG61DYG3BX,2
108,Cameron Thornton,cameronthornton@hotmail.com,KOT59TBX2UO,3
109,Quamar Ratliff,quamarratliff3262@hotmail.couk,QYD52NXU9TW,4
110,Darius Blackwell,dariusblackwell5543@aol.edu,WPP35IPS8UX,2
111,Ariel Michael,arielmichael@icloud.org,DOF22JZB3JJ,1
112,Fleur Webb,fleurwebb1264@icloud.edu,HTG73OWV0QV,1
113,Meghan Bishop,meghanbishop@yahoo.net,OKG24HEG4JR,1
114,Grady Sweet,gradysweet6101@outlook.ca,UTB22DVI0AJ,3
115,Ainsley Colon,ainsleycolon@yahoo.net,PFG55JWR0BF,2
116,Wang Bridges,wangbridges@hotmail.org,WHO42OQL5RH,4
117,Chase Hahn,chasehahn6019@icloud.ca,WXF66CPC7QF,3
118,Paula Cotton,paulacotton@protonmail.couk,KFK40JBR4SS,4
119,Tanisha Arnold,tanishaarnold@yahoo.ca,OBP76YDG8RN,2
120,Zoe Kidd,zoekidd@aol.ca,EBN85PNK0TZ,2
121,Quyn Melendez,quynmelendez@aol.net,LQD55OSP3GF,3
122,Luke Allen,lukeallen@icloud.couk,HSH14XGU1QK,3
123,Genevieve O'donnell,genevieveodonnell@protonmail.couk,OKD98FWB8UI,1
124,Piper Terry,piperterry2379@protonmail.com,YEX08KGJ4YE,2
125,Giacomo Lowery,giacomolowery8372@protonmail.net,BMA27VSY9AN,3
126,Mikayla Chavez,mikaylachavez4681@hotmail.org,DVT15RIQ3SZ,4
127,Isadora Branch,isadorabranch4086@google.com,FGT41OBM3GC,2
128,Suki Montoya,sukimontoya9682@google.net,TZE61QHI7WG,3
129,Wayne Avila,wayneavila1501@icloud.couk,OKF04CKX1VB,4
130,Ryder Ramirez,ryderramirez2959@outlook.edu,SHR67IDQ5HX,3
131,Jolie Waller,joliewaller9269@protonmail.edu,GII55TOB7GC,3
132,Halee Johnston,haleejohnston2576@google.org,DUC75IYV0OW,1
133,Fletcher Gutierrez,fletchergutierrez8680@google.couk,DQO98SRV8AS,3
134,Martin Sosa,martinsosa910@hotmail.couk,HKF58MNZ3IK,2
135,Janna Contreras,jannacontreras@yahoo.couk,QGW74VFI9PJ,3
136,Jason Howell,jasonhowell6593@outlook.ca,FHT35NWL5WJ,3
137,Owen Hopper,owenhopper@protonmail.ca,KTC36SNF2PW,2
138,Merritt Guthrie,merrittguthrie2427@hotmail.couk,ELP04HCX1UW,4
139,Richard Leblanc,richardleblanc@outlook.edu,KLQ32WED8NX,4
140,Quintessa Watkins,quintessawatkins8552@outlook.org,XKM31JHI8YC,3
141,Theodore Wells,theodorewells5357@icloud.couk,MQK22JWA2VX,3
142,Theodore Bush,theodorebush7617@outlook.net,JPM78PRA8XA,3
143,Dahlia Rodriguez,dahliarodriguez@google.com,NEF36SJS2OY,4
144,Nathan Rodriquez,nathanrodriquez@protonmail.net,JBL23VYE9ET,3
145,Alexis Spencer,alexisspencer@aol.edu,TNQ86CVF2PQ,2
146,Caesar Fleming,caesarfleming@aol.net,SPW61SSQ4TU,1
147,Courtney Blackburn,courtneyblackburn@hotmail.org,BDN39VHM6LK,3
148,Ava Hensley,avahensley@icloud.edu,FQQ57TAN6UE,2
149,Martin Franks,martinfranks@outlook.org,YSK55IXH3GW,2
150,Tyrone Baxter,tyronebaxter5967@aol.com,TTD68XSW2SB,4
151,Denton Terrell,dentonterrell1224@outlook.net,MCP11EWO7YS,2
152,Sebastian Shepard,sebastianshepard@aol.com,QJY43XRQ4RX,2
153,Malcolm Hawkins,malcolmhawkins787@protonmail.org,WIU28EUO1UZ,1
154,Mari George,marigeorge1072@outlook.ca,JTV83XJW5NY,2
155,Skyler Leblanc,skylerleblanc@hotmail.net,OTV71HVH8CP,3
156,Lee Gonzales,leegonzales8021@icloud.edu,QVA78KSU3OY,1
157,Lana Finley,lanafinley@outlook.org,IWH51VXU5RC,4
158,Felix Walsh,felixwalsh2268@protonmail.couk,ZTV32TSM5US,2
159,Uriel West,urielwest@aol.ca,JCD94CEF4ZV,3
160,Kelsie Berg,kelsieberg7444@aol.ca,VZG24ILI3TQ,4
161,Rhoda Pate,rhodapate1572@icloud.ca,GQB55BLN5WH,2
162,Camden Peters,camdenpeters@outlook.net,RMB77YNK8BI,2
163,Jamalia Mckee,jamaliamckee5534@aol.couk,YYE52ZJO7FG,3
164,Griffin Gentry,griffingentry@aol.net,AGP88BYY3ED,4
165,Naomi Warren,naomiwarren@google.net,DUX86PRY1OG,2
166,Bernard Ramirez,bernardramirez@google.couk,HKB42HDH4UY,4
167,Sonia Barnett,soniabarnett@icloud.couk,CZH24WNN4PU,2
168,Hope Waller,hopewaller1469@google.ca,QRR41FUJ6QO,2
169,Harding Cox,hardingcox5528@outlook.edu,JVU44VUC4OS,3
170,Stewart Moreno,stewartmoreno@aol.ca,OXA57FQC1MV,2
171,Brody Moody,brodymoody@outlook.couk,TJG36YSY6IX,4
172,Fiona Acosta,fionaacosta@hotmail.com,BPV32VPP8HS,1
173,Amity Chandler,amitychandler@aol.ca,HBU98IOR4CD,1
174,Wynter Ellison,wynterellison@outlook.ca,ZIP86OCQ7QL,2
175,Garrison Frederick,garrisonfrederick1500@outlook.ca,XSE48YGD6XB,3
176,Laith Sawyer,laithsawyer@hotmail.org,YJC74JLC8OI,1
177,Chase Woodward,chasewoodward1803@google.net,CML75WTX0EO,2
178,Demetrius Chambers,demetriuschambers9967@icloud.net,YQQ86LGX4YF,2
179,Adrienne Riddle,adrienneriddle@hotmail.org,JAV51SMF5PI,2
180,Kylan Holman,kylanholman1849@protonmail.com,MXL38VTH7GF,4
181,Leigh Gutierrez,leighgutierrez6021@icloud.org,DBK38YRK7XJ,4
182,Riley Johnson,rileyjohnson9741@yahoo.couk,PBK39KVQ4ND,3
183,Kim Gay,kimgay@outlook.edu,MJR52YWY2FE,1
184,Axel Middleton,axelmiddleton5455@yahoo.ca,OVD53UOR7DH,3
185,Miriam Padilla,miriampadilla2106@yahoo.couk,BIR47IEU5QC,3
186,Ruth Osborne,ruthosborne4933@outlook.couk,NPR76LPC8CE,4
187,Liberty Hayes,libertyhayes@aol.net,TJM47ZWG6LS,1
188,Len Gomez,lengomez@google.ca,BVB17DUD0GT,3
189,Clementine Fletcher,clementinefletcher8854@icloud.ca,NRT52NUT3YK,2
190,Lacota Hill,lacotahill@outlook.couk,NBR54JCE8AL,2
191,Barclay Crawford,barclaycrawford@icloud.com,ASN75WVG2CB,1
192,Anne Roth,anneroth9498@google.edu,SDS55NGM2HU,3
193,Gage Sellers,gagesellers2551@aol.couk,CQW26IFV0LU,1
194,Austin Gross,austingross9512@aol.couk,QSH75FDN5IT,2
195,Bryar Morse,bryarmorse5421@outlook.edu,PHB28SAM8YY,2
196,Mara Bennett,marabennett6303@protonmail.couk,NSK64ACP9UO,4
197,Lamar Kent,lamarkent@outlook.net,VSB16SGF5PJ,2
198,Callum Grant,callumgrant@aol.org,BIA24EOR1RW,2
199,Bryar Avila,bryaravila6868@hotmail.net,SGD55DCN9JZ,2
200,Montana Dotson,montanadotson@protonmail.org,PFE18NRY2QD,3
